...1,created_on,expenses,floor,lat,lon,place_name,place_with_parent_names,price,price_aprox_local_currency,price_aprox_usd,price_per_m2,price_usd_per_m2,property_type,rooms,state_name,surface_covered_in_m2,surface_in_m2,surface_total_in_m2,title
31978,2015-03-30,NA,NA,-34.4990607,-58.5630833,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,550000,5335385,550000,1718.75,402.340892465,house,NA,NA,320,NA,1367,"Casa 1367m² con Cochera en CALCAGNO, A. Monseñor 300, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 550.000"
31980,2015-03-30,NA,NA,-34.5002411,-58.5603545,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,595000,5771916.5,595000,1465.51724138,423.487544484,house,NA,NA,406,NA,1405,"Casa 1405m² con Plantas en ARANA, Gobernador 100, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 595.000"
31982,2015-03-30,NA,NA,-34.4947411,-58.5662059,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,460000,4462322,460000,1637.01067616,471.31147541,house,NA,NA,281,NA,976,"Casa 976m² con Cochera en SANTA RITA 800, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 460.000"
32004,2015-03-30,NA,NA,-34.487081,-58.5772948,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,490000,4753343,490000,1781.81818182,1215.8808933,house,NA,NA,275,NA,403,"Casa 403m² con Dependencias en ARANA, Gobernador 2000, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 490.000"
32018,2015-03-30,NA,NA,NA,NA,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,400000,3880280,400000,1538.46153846,634.920634921,house,NA,NA,260,NA,630,"Casa 630m² con Dependencias en 2500, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 400.000"
32021,2015-03-30,NA,NA,-34.578676,-58.4782425,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,90000,873063,90000,642.857142857,52.9411764706,house,NA,NA,140,NA,1700,"Casa 1700m² con Dependencias en China 200, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 90.000"
32028,2015-03-30,NA,NA,-34.4776866,-58.5669815,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,160000,1552112,160000,1259.84251969,561.403508772,house,NA,NA,127,NA,285,"Casa 285m² con Plantas en MARCONI, Ing. 3800, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 160.000"
32035,2015-03-30,NA,NA,-34.4814469,-58.5787227,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,400000,3880280,400000,1600,952.380952381,house,NA,NA,250,NA,420,"Casa 420m² con Teléfono en GURRUCHAGA 700, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 400.000"
32066,2015-03-30,NA,NA,-34.4884775,-58.5670022,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,930000,9021651,930000,1735.07462687,692.479523455,house,NA,NA,536,NA,1343,"Casa 1343m² con Cochera en BERMEJO 1300, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 930.000"
32078,2015-03-30,NA,NA,-34.3815582,-58.8791737,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,1200000,11640840,1200000,5454.54545455,400.534045394,house,NA,NA,220,NA,2996,"Casa 2996m² con Teléfono en RIVADAVIA, Comodoro 1100, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 1.200.000"
32110,2015-03-30,NA,NA,-34.4969001,-58.5635165,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,540000,5238378,540000,1636.36363636,675,house,NA,NA,330,NA,800,"Casa 800m² con Teléfono en SANTA RITA 400, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 540.000"
32114,2015-03-30,NA,NA,-34.6360885,-58.4612138,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,162000,1571513.4,162000,810,506.25,house,NA,NA,200,NA,320,"Casa 320m² con Dependencias en PEDERNERA 600, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 162.000"
32141,2015-03-30,NA,NA,-34.4934209,-58.5726941,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,110000,1067077,110000,2291.66666667,2291.66666667,store,NA,NA,48,NA,48,"Local 48m² con 2 Plantas en SAN MARTIN, Capitan J. de 1200, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 110.000"
32151,2015-03-30,NA,NA,-34.4862868,-58.5689656,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,650000,6305455,650000,1354.16666667,722.222222222,house,NA,NA,480,NA,900,"Casa 900m² con Cochera en BAGNATI, Dr. Raúl 400, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 650.000"
